ip,classification,risk_recommended_pulsedive,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_recent_reports_count,apivoid_risk_score,apivoid_blacklists_engines_count,apivoid_blacklists_detections,apivoid_blacklists_detection_rate,virustotal_reputation,virustotal_harmless,virustotal_malicious,virustotal_suspicious,virustotal_undetected
101.126.88.93,denylist,0.6000000000000001,1.0,0.015552941176470589,0.2155,3.0,1.0,82.0,14.0,0.17,0.17630057803468205,0.5789473684210527,0.07368421052631578,0.031578947368421054,0.3157894736842105
101.126.89.164,denylist,0.6000000000000001,1.0,0.023882352941176473,0.266,3.0,1.0,82.0,11.0,0.13,0.17485549132947975,0.5684210526315789,0.08421052631578947,0.031578947368421054,0.3157894736842105
101.126.89.35,denylist,0.6000000000000001,1.0,0.02495294117647059,0.2635,3.0,1.0,82.0,17.0,0.21,0.17630057803468205,0.5789473684210527,0.07368421052631578,0.031578947368421054,0.3157894736842105
101.126.90.116,denylist,0.6000000000000001,0.02,4.705882352941177e-05,0.001,3.0,0.7000000000000001,82.0,3.0,0.04,0.17774566473988437,0.6,0.042105263157894736,0.010526315789473684,0.34736842105263155
101.126.91.34,denylist,0.6000000000000001,1.0,0.016411764705882355,0.233,3.0,1.0,82.0,15.0,0.18,0.17485549132947975,0.5578947368421052,0.09473684210526316,0.031578947368421054,0.3157894736842105
101.126.93.113,denylist,0.6000000000000001,0.03,1.1764705882352942e-05,0.0005,1.0,0.9,82.0,4.0,0.05,0.17919075144508667,0.6105263157894737,0.042105263157894736,0.010526315789473684,0.3368421052631579
101.126.94.105,denylist,0.6000000000000001,0.0,2.3529411764705884e-05,0.001,2.0,1.0,82.0,6.0,0.07,0.17630057803468205,0.6210526315789473,0.021052631578947368,0.010526315789473684,0.34736842105263155
101.13.3.72,denylist,0.6000000000000001,1.0,0.002247058823529412,0.034,3.0,1.0,82.0,7.0,0.09,0.17774566473988437,0.6,0.06315789473684211,0.021052631578947368,0.3157894736842105
101132145132,denylist,0.0,1.0,0.007435294117647059,0.0365,3.0,1.0,82.0,9.0,0.11,0.10549132947976876,0.6105263157894737,0.042105263157894736,0.021052631578947368,0.3263157894736842
101132192230,denylist,0.4000000000000001,0.0,3.529411764705883e-05,0.0005,3.0,1.0,82.0,5.0,0.06,0.1820809248554913,0.6210526315789473,0.031578947368421054,0.0,0.34736842105263155
101.168.11.84,suspicious,0.4000000000000001,0.0,0.0,0.0,0.0,0.4,82.0,1.0,0.01,0.1820809248554913,0.631578947368421,0.010526315789473684,0.010526315789473684,0.34736842105263155
101.168.52.168,denylist,0.4000000000000001,0.0,0.0,0.0,0.0,0.9,82.0,4.0,0.05,0.1820809248554913,0.631578947368421,0.021052631578947368,0.0,0.34736842105263155
101200120136,denylist,0.0,1.0,0.004611764705882353,0.019,3.0,1.0,82.0,5.0,0.06,0.1820809248554913,0.6,0.05263157894736842,0.021052631578947368,0.3263157894736842
101.201.103.9,suspicious,0.4000000000000001,0.0,1.1764705882352942e-05,0.0005,1.0,0.6,82.0,2.0,0.02,0.180635838150289,0.6526315789473685,0.010526315789473684,0.0,0.3368421052631579
101.201.154.79,suspicious,0.4000000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,82.0,3.0,0.04,0.18352601156069362,0.631578947368421,0.010526315789473684,0.010526315789473684,0.34736842105263155
101201212110,suspicious,0.4000000000000001,0.16,3.529411764705883e-05,0.0015,3.0,1.0,82.0,6.0,0.07,0.1820809248554913,0.6421052631578947,0.010526315789473684,0.010526315789473684,0.3368421052631579
101.201.38.226,denylist,0.4000000000000001,1.0,0.016141176470588235,0.1065,3.0,1.0,82.0,14.0,0.17,0.180635838150289,0.6,0.05263157894736842,0.031578947368421054,0.3157894736842105
101.207.113.73,denylist,0.4000000000000001,0.02,3.529411764705883e-05,0.0015,3.0,1.0,82.0,7.0,0.09,0.1820809248554913,0.6105263157894737,0.031578947368421054,0.010526315789473684,0.34736842105263155
101226179122,denylist,0.4000000000000001,0.13,0.003011764705882353,0.082,3.0,1.0,82.0,5.0,0.06,0.17630057803468205,0.6,0.05263157894736842,0.010526315789473684,0.3368421052631579
101.226.180.6,denylist,0.4000000000000001,1.0,0.02715294117647059,0.3365,3.0,1.0,82.0,15.0,0.18,0.17485549132947975,0.6105263157894737,0.05263157894736842,0.010526315789473684,0.3263157894736842
101227238246,denylist,0.4000000000000001,0.02,4.705882352941177e-05,0.001,3.0,0.9,82.0,4.0,0.05,0.17774566473988437,0.6210526315789473,0.021052631578947368,0.0,0.35789473684210527
101.227.54.119,denylist,0.4000000000000001,0.02,3.529411764705883e-05,0.0015,3.0,1.0,82.0,7.0,0.09,0.17630057803468205,0.6,0.05263157894736842,0.010526315789473684,0.3368421052631579
101.251.197.46,denylist,0.4000000000000001,1.0,0.009658823529411765,0.088,3.0,1.0,82.0,16.0,0.2,0.16763005780346818,0.5473684210526316,0.11578947368421053,0.021052631578947368,0.3157894736842105
101.254.166.52,denylist,0.6000000000000001,0.43,0.004847058823529412,0.0845,3.0,1.0,82.0,6.0,0.07,0.17485549132947975,0.6,0.05263157894736842,0.010526315789473684,0.3368421052631579
101.36.106.134,denylist,0.4000000000000001,1.0,0.030105882352941177,0.093,3.0,1.0,82.0,11.0,0.13,0.1820809248554913,0.5368421052631579,0.12631578947368421,0.010526315789473684,0.3263157894736842
